year,city,country,avg_temp
1796,Karachi,Pakistan,25.89
1797,Karachi,Pakistan,27.03
1798,Karachi,Pakistan,25.59
1799,Karachi,Pakistan,26.14
1800,Karachi,Pakistan,26.05
1801,Karachi,Pakistan,25.52
1802,Karachi,Pakistan,26.45
1803,Karachi,Pakistan,26.20
1804,Karachi,Pakistan,26.49
1805,Karachi,Pakistan,26.14
1806,Karachi,Pakistan,26.06
1807,Karachi,Pakistan,25.85
1808,Karachi,Pakistan,
1809,Karachi,Pakistan,
1810,Karachi,Pakistan,
1811,Karachi,Pakistan,
1812,Karachi,Pakistan,
1813,Karachi,Pakistan,25.40
1814,Karachi,Pakistan,24.86
1815,Karachi,Pakistan,24.92
1816,Karachi,Pakistan,24.46
1817,Karachi,Pakistan,24.69
1818,Karachi,Pakistan,25.43
1819,Karachi,Pakistan,24.85
1820,Karachi,Pakistan,25.01
1821,Karachi,Pakistan,25.62
1822,Karachi,Pakistan,25.69
1823,Karachi,Pakistan,25.40
1824,Karachi,Pakistan,26.12
1825,Karachi,Pakistan,
1826,Karachi,Pakistan,25.95
1827,Karachi,Pakistan,26.23
1828,Karachi,Pakistan,25.73
1829,Karachi,Pakistan,25.54
1830,Karachi,Pakistan,25.94
1831,Karachi,Pakistan,25.24
1832,Karachi,Pakistan,25.42
1833,Karachi,Pakistan,25.66
1834,Karachi,Pakistan,25.72
1835,Karachi,Pakistan,24.85
1836,Karachi,Pakistan,25.30
1837,Karachi,Pakistan,25.17
1838,Karachi,Pakistan,25.17
1839,Karachi,Pakistan,25.32
1840,Karachi,Pakistan,25.44
1841,Karachi,Pakistan,25.75
1842,Karachi,Pakistan,25.64
1843,Karachi,Pakistan,25.58
1844,Karachi,Pakistan,25.24
1845,Karachi,Pakistan,25.42
1846,Karachi,Pakistan,
1847,Karachi,Pakistan,
1848,Karachi,Pakistan,25.37
1849,Karachi,Pakistan,25.42
1850,Karachi,Pakistan,25.44
1851,Karachi,Pakistan,25.61
1852,Karachi,Pakistan,25.62
1853,Karachi,Pakistan,25.63
1854,Karachi,Pakistan,25.77
1855,Karachi,Pakistan,25.93
1856,Karachi,Pakistan,24.94
1857,Karachi,Pakistan,25.15
1858,Karachi,Pakistan,
1859,Karachi,Pakistan,
1860,Karachi,Pakistan,
1861,Karachi,Pakistan,
1862,Karachi,Pakistan,
1863,Karachi,Pakistan,
1864,Karachi,Pakistan,
1865,Karachi,Pakistan,
1866,Karachi,Pakistan,
1867,Karachi,Pakistan,
1868,Karachi,Pakistan,
1869,Karachi,Pakistan,
1870,Karachi,Pakistan,
1871,Karachi,Pakistan,24.10
1872,Karachi,Pakistan,27.16
1873,Karachi,Pakistan,26.55
1874,Karachi,Pakistan,23.06
1875,Karachi,Pakistan,26.00
1876,Karachi,Pakistan,25.75
1877,Karachi,Pakistan,25.96
1878,Karachi,Pakistan,25.87
1879,Karachi,Pakistan,25.33
1880,Karachi,Pakistan,25.95
1881,Karachi,Pakistan,25.93
1882,Karachi,Pakistan,25.52
1883,Karachi,Pakistan,25.35
1884,Karachi,Pakistan,25.61
1885,Karachi,Pakistan,25.61
1886,Karachi,Pakistan,25.89
1887,Karachi,Pakistan,25.74
1888,Karachi,Pakistan,25.74
1889,Karachi,Pakistan,26.02
1890,Karachi,Pakistan,25.73
1891,Karachi,Pakistan,25.80
1892,Karachi,Pakistan,26.32
1893,Karachi,Pakistan,25.30
1894,Karachi,Pakistan,25.48
1895,Karachi,Pakistan,25.94
1896,Karachi,Pakistan,26.45
1897,Karachi,Pakistan,26.09
1898,Karachi,Pakistan,26.24
1899,Karachi,Pakistan,26.35
1900,Karachi,Pakistan,26.51
1901,Karachi,Pakistan,26.18
1902,Karachi,Pakistan,26.75
1903,Karachi,Pakistan,25.74
1904,Karachi,Pakistan,26.10
1905,Karachi,Pakistan,25.55
1906,Karachi,Pakistan,25.84
1907,Karachi,Pakistan,25.84
1908,Karachi,Pakistan,25.70
1909,Karachi,Pakistan,25.62
1910,Karachi,Pakistan,25.52
1911,Karachi,Pakistan,25.50
1912,Karachi,Pakistan,26.29
1913,Karachi,Pakistan,25.85
1914,Karachi,Pakistan,26.11
1915,Karachi,Pakistan,26.24
1916,Karachi,Pakistan,25.86
1917,Karachi,Pakistan,25.59
1918,Karachi,Pakistan,25.52
1919,Karachi,Pakistan,25.69
1920,Karachi,Pakistan,26.07
1921,Karachi,Pakistan,26.20
1922,Karachi,Pakistan,26.03
1923,Karachi,Pakistan,25.48
1924,Karachi,Pakistan,26.06
1925,Karachi,Pakistan,25.95
1926,Karachi,Pakistan,26.12
1927,Karachi,Pakistan,25.63
1928,Karachi,Pakistan,26.01
1929,Karachi,Pakistan,25.91
1930,Karachi,Pakistan,25.83
1931,Karachi,Pakistan,26.29
1932,Karachi,Pakistan,26.11
1933,Karachi,Pakistan,25.90
1934,Karachi,Pakistan,25.88
1935,Karachi,Pakistan,25.69
1936,Karachi,Pakistan,26.01
1937,Karachi,Pakistan,25.82
1938,Karachi,Pakistan,25.79
1939,Karachi,Pakistan,25.75
1940,Karachi,Pakistan,26.22
1941,Karachi,Pakistan,26.76
1942,Karachi,Pakistan,26.30
1943,Karachi,Pakistan,26.17
1944,Karachi,Pakistan,26.03
1945,Karachi,Pakistan,25.72
1946,Karachi,Pakistan,26.13
1947,Karachi,Pakistan,26.38
1948,Karachi,Pakistan,26.30
1949,Karachi,Pakistan,26.16
1950,Karachi,Pakistan,25.48
1951,Karachi,Pakistan,26.29
1952,Karachi,Pakistan,26.26
1953,Karachi,Pakistan,26.78
1954,Karachi,Pakistan,26.37
1955,Karachi,Pakistan,26.19
1956,Karachi,Pakistan,25.75
1957,Karachi,Pakistan,25.84
1958,Karachi,Pakistan,26.84
1959,Karachi,Pakistan,26.33
1960,Karachi,Pakistan,26.20
1961,Karachi,Pakistan,25.90
1962,Karachi,Pakistan,26.11
1963,Karachi,Pakistan,26.63
1964,Karachi,Pakistan,25.86
1965,Karachi,Pakistan,26.17
1966,Karachi,Pakistan,26.14
1967,Karachi,Pakistan,25.94
1968,Karachi,Pakistan,25.91
1969,Karachi,Pakistan,26.43
1970,Karachi,Pakistan,26.44
1971,Karachi,Pakistan,26.21
1972,Karachi,Pakistan,25.93
1973,Karachi,Pakistan,26.12
1974,Karachi,Pakistan,26.20
1975,Karachi,Pakistan,25.87
1976,Karachi,Pakistan,26.09
1977,Karachi,Pakistan,26.84
1978,Karachi,Pakistan,26.21
1979,Karachi,Pakistan,26.28
1980,Karachi,Pakistan,26.68
1981,Karachi,Pakistan,26.57
1982,Karachi,Pakistan,26.29
1983,Karachi,Pakistan,26.10
1984,Karachi,Pakistan,25.91
1985,Karachi,Pakistan,26.34
1986,Karachi,Pakistan,26.10
1987,Karachi,Pakistan,26.88
1988,Karachi,Pakistan,27.21
1989,Karachi,Pakistan,26.25
1990,Karachi,Pakistan,26.39
1991,Karachi,Pakistan,26.34
1992,Karachi,Pakistan,26.36
1993,Karachi,Pakistan,27.25
1994,Karachi,Pakistan,26.36
1995,Karachi,Pakistan,26.63
1996,Karachi,Pakistan,26.50
1997,Karachi,Pakistan,26.29
1998,Karachi,Pakistan,27.36
1999,Karachi,Pakistan,27.14
2000,Karachi,Pakistan,27.12
2001,Karachi,Pakistan,27.28
2002,Karachi,Pakistan,27.20
2003,Karachi,Pakistan,26.97
