cyear,city,country,city_avg_temp,gyear,gavg_temp
1796,Karachi,Pakistan,25.89,1796,8.27
1797,Karachi,Pakistan,27.03,1797,8.51
1798,Karachi,Pakistan,25.59,1798,8.67
1799,Karachi,Pakistan,26.14,1799,8.51
1800,Karachi,Pakistan,26.05,1800,8.48
1801,Karachi,Pakistan,25.52,1801,8.59
1802,Karachi,Pakistan,26.45,1802,8.58
1803,Karachi,Pakistan,26.20,1803,8.50
1804,Karachi,Pakistan,26.49,1804,8.84
1805,Karachi,Pakistan,26.14,1805,8.56
1806,Karachi,Pakistan,26.06,1806,8.43
1807,Karachi,Pakistan,25.85,1807,8.28
1813,Karachi,Pakistan,25.40,1813,7.74
1814,Karachi,Pakistan,24.86,1814,7.59
1815,Karachi,Pakistan,24.92,1815,7.24
1816,Karachi,Pakistan,24.46,1816,6.94
1817,Karachi,Pakistan,24.69,1817,6.98
1818,Karachi,Pakistan,25.43,1818,7.83
1819,Karachi,Pakistan,24.85,1819,7.37
1820,Karachi,Pakistan,25.01,1820,7.62
1821,Karachi,Pakistan,25.62,1821,8.09
1822,Karachi,Pakistan,25.69,1822,8.19
1823,Karachi,Pakistan,25.40,1823,7.72
1824,Karachi,Pakistan,26.12,1824,8.55
1826,Karachi,Pakistan,25.95,1826,8.36
1827,Karachi,Pakistan,26.23,1827,8.81
1828,Karachi,Pakistan,25.73,1828,8.17
1829,Karachi,Pakistan,25.54,1829,7.94
1830,Karachi,Pakistan,25.94,1830,8.52
1831,Karachi,Pakistan,25.24,1831,7.64
1832,Karachi,Pakistan,25.42,1832,7.45
1833,Karachi,Pakistan,25.66,1833,8.01
1834,Karachi,Pakistan,25.72,1834,8.15
1835,Karachi,Pakistan,24.85,1835,7.39
1836,Karachi,Pakistan,25.30,1836,7.70
1837,Karachi,Pakistan,25.17,1837,7.38
1838,Karachi,Pakistan,25.17,1838,7.51
1839,Karachi,Pakistan,25.32,1839,7.63
1840,Karachi,Pakistan,25.44,1840,7.80
1841,Karachi,Pakistan,25.75,1841,7.69
1842,Karachi,Pakistan,25.64,1842,8.02
1843,Karachi,Pakistan,25.58,1843,8.17
1844,Karachi,Pakistan,25.24,1844,7.65
1845,Karachi,Pakistan,25.42,1845,7.85
1848,Karachi,Pakistan,25.37,1848,7.98
1849,Karachi,Pakistan,25.42,1849,7.98
1850,Karachi,Pakistan,25.44,1850,7.90
1851,Karachi,Pakistan,25.61,1851,8.18
1852,Karachi,Pakistan,25.62,1852,8.10
1853,Karachi,Pakistan,25.63,1853,8.04
1854,Karachi,Pakistan,25.77,1854,8.21
1855,Karachi,Pakistan,25.93,1855,8.11
1856,Karachi,Pakistan,24.94,1856,8.00
1857,Karachi,Pakistan,25.15,1857,7.76
1871,Karachi,Pakistan,24.10,1871,8.12
